userId,age,gender,occupation
229,41,M,manager
230,27,F,student
231,50,M,doctor
232,34,F,teacher
233,49,M,developer
234,40,F,analyst
235,50,M,researcher
236,32,F,writer
237,43,M,consultant
238,36,F,marketing
239,50,M,professor
240,30,F,student
241,45,M,engineer
242,38,F,designer
243,42,M,manager
244,28,F,student
245,50,M,doctor
246,35,F,teacher
247,50,M,developer
248,41,F,analyst
249,50,M,researcher
250,33,F,writer
251,44,M,consultant
252,37,F,marketing
253,50,M,professor
254,31,F,student
255,46,M,engineer
256,39,F,designer
257,43,M,manager
258,29,F,student
259,50,M,doctor
260,36,F,teacher
261,50,M,developer
262,42,F,analyst
263,50,M,researcher
264,34,F,writer
265,45,M,consultant
266,38,F,marketing
267,50,M,professor
268,32,F,student
269,47,M,engineer
270,40,F,designer
271,44,M,manager
272,30,F,student
273,50,M,doctor
274,37,F,teacher
275,50,M,developer
276,43,F,analyst
277,50,M,researcher
278,35,F,writer
279,46,M,consultant
280,39,F,marketing
281,50,M,professor
282,33,F,student
283,48,M,engineer
284,41,F,designer
285,45,M,manager
286,31,F,student
287,50,M,doctor
288,38,F,teacher
289,50,M,developer
290,44,F,analyst
291,50,M,researcher
292,36,F,writer
293,47,M,consultant
294,40,F,marketing
295,50,M,professor
296,34,F,student
297,49,M,engineer
298,42,F,designer
299,46,M,manager
300,32,F,student
301,28,M,doctor
302,35,F,teacher
303,41,M,developer
304,26,F,analyst
305,33,M,researcher
306,19,F,writer
307,44,M,consultant
308,27,F,marketing
309,38,M,professor
310,22,F,student
311,47,M,engineer
312,29,F,designer
313,34,M,manager
314,21,F,student
315,50,M,doctor
316,26,F,teacher
317,31,M,developer
318,45,F,analyst
319,28,M,researcher
320,23,F,writer
321,40,M,consultant
322,27,F,marketing
323,36,M,professor
324,24,F,student
325,49,M,engineer
326,30,F,designer
327,35,M,manager
328,20,F,student
329,48,M,doctor
330,25,F,teacher
331,32,M,developer
332,43,F,analyst
333,29,M,researcher
334,18,F,writer
335,42,M,consultant
336,26,F,marketing
337,37,M,professor
338,23,F,student
339,46,M,engineer
340,31,F,designer
341,33,M,manager
342,19,F,student
343,47,M,doctor
344,28,F,teacher
345,34,M,developer
346,41,F,analyst
347,30,M,researcher
348,25,F,writer
349,39,M,consultant
350,27,F,marketing
351,35,M,professor
352,22,F,student
353,44,M,engineer
354,32,F,designer
355,36,M,manager
356,21,F,student
357,45,M,doctor
358,29,F,teacher
359,33,M,developer
360,42,F,analyst
361,31,M,researcher
362,26,F,writer
363,38,M,consultant
364,28,F,marketing
365,34,M,professor
366,24,F,student
367,43,M,engineer
368,30,F,designer
369,37,M,manager
370,20,F,student
371,46,M,doctor
372,27,F,teacher
373,35,M,developer
374,40,F,analyst
375,32,M,researcher
376,25,F,writer
377,36,M,consultant
378,29,F,marketing
379,33,M,professor
380,23,F,student
381,42,M,engineer
382,31,F,designer
383,38,M,manager
384,22,F,student
385,44,M,doctor
386,28,F,teacher
387,34,M,developer
388,39,F,analyst
389,33,M,researcher
390,26,F,writer
391,35,M,consultant
392,30,F,marketing
393,32,M,professor
394,24,F,student
395,41,M,engineer
396,29,F,designer
397,37,M,manager
398,21,F,student
399,43,M,doctor
400,27,F,teacher
401,36,M,developer
402,38,F,analyst
403,34,M,researcher
404,25,F,writer
405,33,M,consultant
406,31,F,marketing
407,31,M,professor
408,23,F,student
409,40,M,engineer
410,28,F,designer
411,39,M,manager
412,22,F,student
413,42,M,doctor
414,26,F,teacher
415,35,M,developer
416,37,F,analyst
417,35,M,researcher
418,24,F,writer
419,32,M,consultant
420,32,F,marketing
421,30,M,professor
422,25,F,student
423,39,M,engineer
424,27,F,designer
425,40,M,manager
426,21,F,student
427,41,M,doctor
428,25,F,teacher
429,34,M,developer
430,36,F,analyst
431,36,M,researcher
432,23,F,writer
433,31,M,consultant
434,33,F,marketing
435,29,M,professor
436,26,F,student
437,38,M,engineer
438,26,F,designer
439,41,M,manager
440,22,F,student
441,40,M,doctor
442,24,F,teacher
443,33,M,developer
444,35,F,analyst
445,37,M,researcher
446,22,F,writer
447,30,M,consultant
448,34,F,marketing
449,28,M,professor
450,27,F,student
451,37,M,engineer
452,25,F,designer
453,42,M,manager
454,23,F,student
455,39,M,doctor
456,23,F,teacher
457,32,M,developer
458,34,F,analyst
459,38,M,researcher
460,21,F,writer
461,29,M,consultant
462,35,F,marketing
463,27,M,professor
464,28,F,student
465,36,M,engineer
466,24,F,designer
467,43,M,manager
468,22,F,student
469,38,M,doctor
470,22,F,teacher
471,31,M,developer
472,33,F,analyst
473,39,M,researcher
474,20,F,writer
475,28,M,consultant
476,36,F,marketing
477,26,M,professor
478,29,F,student
479,35,M,engineer
480,23,F,designer
481,44,M,manager
482,21,F,student
483,37,M,doctor
484,21,F,teacher
485,30,M,developer
486,32,F,analyst
487,40,M,researcher
488,19,F,writer
489,27,M,consultant
490,37,F,marketing
491,25,M,professor
492,30,F,student
493,34,M,engineer
494,22,F,designer
495,45,M,manager
496,20,F,student
497,36,M,doctor
498,20,F,teacher
499,29,M,developer
500,31,F,analyst
501,41,M,researcher
502,18,F,writer
503,26,M,consultant
504,38,F,marketing
505,24,M,professor
506,31,F,student
507,33,M,engineer
508,21,F,designer
509,46,M,manager
510,19,F,student
511,35,M,doctor
512,19,F,teacher
513,28,M,developer
514,30,F,analyst
515,42,M,researcher
516,17,F,writer
517,25,M,consultant
518,39,F,marketing
519,23,M,professor
520,32,F,student
521,32,M,engineer
522,20,F,designer
523,47,M,manager
524,18,F,student
525,34,M,doctor
526,18,F,teacher
527,27,M,developer
528,29,F,analyst
529,43,M,researcher
530,17,F,writer
531,24,M,consultant
532,40,F,marketing
533,22,M,professor
534,33,F,student
535,31,M,engineer
536,19,F,designer
537,48,M,manager
538,17,F,student
539,33,M,doctor
540,17,F,teacher
541,26,M,developer
542,28,F,analyst
543,44,M,researcher
544,17,F,writer
545,23,M,consultant
546,41,F,marketing
547,21,M,professor
548,34,F,student
549,30,M,engineer
550,18,F,designer
551,49,M,manager
552,17,F,student
553,32,M,doctor
554,17,F,teacher
555,25,M,developer
556,27,F,analyst
557,45,M,researcher
558,17,F,writer
559,22,M,consultant
560,42,F,marketing
561,20,M,professor
562,35,F,student
563,29,M,engineer
564,17,F,designer
565,50,M,manager
566,17,F,student
567,31,M,doctor
568,17,F,teacher
569,24,M,developer
570,26,F,analyst
571,46,M,researcher
572,17,F,writer
573,21,M,consultant
574,43,F,marketing
575,19,M,professor
576,36,F,student
577,28,M,engineer
578,17,F,designer
579,50,M,manager
580,17,F,student
581,30,M,doctor
582,17,F,teacher
583,23,M,developer
584,25,F,analyst
585,47,M,researcher
586,17,F,writer
587,20,M,consultant
588,44,F,marketing
589,18,M,professor
590,37,F,student
591,27,M,engineer
592,17,F,designer
593,50,M,manager
594,17,F,student
595,29,M,doctor
596,17,F,teacher
597,22,M,developer
598,24,F,analyst
599,48,M,researcher
600,32,F,writer
601,28,M,consultant
602,45,F,marketing
603,33,M,professor
604,26,F,student
605,41,M,engineer
606,29,F,designer
607,37,M,manager
608,22,F,student
609,48,M,doctor
610,27,F,teacher
611,34,M,developer
612,43,F,analyst
613,30,M,researcher
614,25,F,writer
615,39,M,consultant
616,28,F,marketing
617,35,M,professor
618,24,F,student
619,46,M,engineer
620,31,F,designer
621,36,M,manager
622,21,F,student
623,49,M,doctor
624,26,F,teacher
625,33,M,developer
626,42,F,analyst
627,31,M,researcher
628,26,F,writer
629,38,M,consultant
630,29,F,marketing
631,34,M,professor
632,23,F,student
633,47,M,engineer
634,32,F,designer
635,37,M,manager
636,20,F,student
637,50,M,doctor
638,25,F,teacher
639,32,M,developer
640,41,F,analyst
641,32,M,researcher
642,27,F,writer
643,37,M,consultant
644,30,F,marketing
645,33,M,professor
646,24,F,student
647,45,M,engineer
648,33,F,designer
649,38,M,manager
650,19,F,student
651,48,M,doctor
652,24,F,teacher
653,31,M,developer
654,40,F,analyst
655,33,M,researcher
656,28,F,writer
657,36,M,consultant
658,31,F,marketing
659,32,M,professor
660,25,F,student
661,43,M,engineer
662,34,F,designer
663,39,M,manager
664,18,F,student
665,47,M,doctor
666,23,F,teacher
667,30,M,developer
668,39,F,analyst
669,34,M,researcher
670,29,F,writer
671,35,M,consultant
672,32,F,marketing
673,31,M,professor
674,26,F,student
675,41,M,engineer
676,35,F,designer
677,40,M,manager
678,17,F,student
679,46,M,doctor
680,22,F,teacher
681,29,M,developer
682,38,F,analyst
683,35,M,researcher
684,30,F,writer
685,34,M,consultant
686,33,F,marketing
687,30,M,professor
688,27,F,student
689,39,M,engineer
690,36,F,designer
691,41,M,manager
692,17,F,student
693,45,M,doctor
694,21,F,teacher
695,28,M,developer
696,37,F,analyst
697,36,M,researcher
698,31,F,writer
699,33,M,consultant
700,34,F,marketing
701,29,M,professor
702,28,F,student
703,37,M,engineer
704,37,F,designer
705,42,M,manager
706,17,F,student
707,44,M,doctor
708,20,F,teacher
709,27,M,developer
710,36,F,analyst
711,37,M,researcher
712,32,F,writer
713,32,M,consultant
714,35,F,marketing
715,28,M,professor
716,29,F,student
717,35,M,engineer
718,38,F,designer
719,43,M,manager
720,17,F,student
721,43,M,doctor
722,19,F,teacher
723,26,M,developer
724,35,F,analyst
725,38,M,researcher
726,33,F,writer
727,31,M,consultant
728,36,F,marketing
729,27,M,professor
730,30,F,student
731,33,M,engineer
732,39,F,designer
733,44,M,manager
734,17,F,student
735,42,M,doctor
736,18,F,teacher
737,25,M,developer
738,34,F,analyst
739,39,M,researcher
740,34,F,writer
741,30,M,consultant
742,37,F,marketing
743,26,M,professor
744,31,F,student
745,31,M,engineer
746,40,F,designer
747,45,M,manager
748,17,F,student
749,41,M,doctor
750,17,F,teacher
751,24,M,developer
752,33,F,analyst
753,40,M,researcher
754,35,F,writer
755,29,M,consultant
756,38,F,marketing
757,25,M,professor
758,32,F,student
759,29,M,engineer
760,41,F,designer
761,46,M,manager
762,17,F,student
763,40,M,doctor
764,17,F,teacher
765,23,M,developer
766,32,F,analyst
767,41,M,researcher
768,36,F,writer
769,28,M,consultant
770,39,F,marketing
771,24,M,professor
772,33,F,student
773,27,M,engineer
774,42,F,designer
775,47,M,manager
776,17,F,student
777,39,M,doctor
778,17,F,teacher
779,22,M,developer
780,31,F,analyst
781,42,M,researcher
782,37,F,writer
783,27,M,consultant
784,40,F,marketing
785,23,M,professor
786,34,F,student
787,25,M,engineer
788,43,F,designer
789,48,M,manager
790,17,F,student
791,38,M,doctor
792,17,F,teacher
793,21,M,developer
794,30,F,analyst
795,43,M,researcher
796,38,F,writer
797,26,M,consultant
798,41,F,marketing
799,22,M,professor
800,35,F,student
801,23,M,engineer
802,44,F,designer
803,49,M,manager
804,17,F,student
805,37,M,doctor
806,17,F,teacher
807,20,M,developer
808,29,F,analyst
809,44,M,researcher
810,39,F,writer
811,25,M,consultant
812,42,F,marketing
813,21,M,professor
814,36,F,student
815,21,M,engineer
816,45,F,designer
817,50,M,manager
818,17,F,student
819,36,M,doctor
820,17,F,teacher
821,19,M,developer
822,28,F,analyst
823,45,M,researcher
824,40,F,writer
825,24,M,consultant
826,43,F,marketing
827,20,M,professor
828,37,F,student
829,19,M,engineer
830,46,F,designer
831,50,M,manager
832,17,F,student
833,35,M,doctor
834,17,F,teacher
835,18,M,developer
836,27,F,analyst
837,46,M,researcher
838,41,F,writer
839,23,M,consultant
840,44,F,marketing
841,19,M,professor
842,38,F,student
843,17,M,engineer
844,47,F,designer
845,50,M,manager
846,17,F,student
847,34,M,doctor
848,17,F,teacher
849,17,M,developer
850,26,F,analyst
851,47,M,researcher
852,42,F,writer
853,22,M,consultant
854,45,F,marketing
855,18,M,professor
856,39,F,student
857,17,M,engineer
858,48,F,designer
859,50,M,manager
860,17,F,student
861,33,M,doctor
862,17,F,teacher
863,17,M,developer
864,25,F,analyst
865,48,M,researcher
866,43,F,writer
867,21,M,consultant
868,46,F,marketing
869,17,M,professor
870,40,F,student
871,17,M,engineer
872,49,F,designer
873,50,M,manager
874,17,F,student
875,32,M,doctor
876,17,F,teacher
877,17,M,developer
878,24,F,analyst
879,49,M,researcher
880,44,F,writer
881,20,M,consultant
882,47,F,marketing
883,17,M,professor
884,41,F,student
885,17,M,engineer
886,50,F,designer
887,50,M,manager
888,17,F,student
889,31,M,doctor
890,17,F,teacher
891,17,M,developer
892,23,F,analyst
893,50,M,researcher
894,45,F,writer
895,19,M,consultant
896,48,F,marketing
897,17,M,professor
898,42,F,student
899,17,M,engineer
900,50,F,designer
901,50,M,manager
902,17,F,student
903,30,M,doctor
904,17,F,teacher
905,17,M,developer
906,22,F,analyst
907,50,M,researcher
908,46,F,writer
909,18,M,consultant
910,49,F,marketing
911,17,M,professor
912,43,F,student
913,17,M,engineer
914,50,F,designer
915,50,M,manager
916,17,F,student
917,29,M,doctor
918,17,F,teacher
919,17,M,developer
920,21,F,analyst
921,50,M,researcher
922,47,F,writer
923,17,M,consultant
924,50,F,marketing
925,17,M,professor
926,44,F,student
927,17,M,engineer
928,50,F,designer
929,50,M,manager
930,17,F,student
931,28,M,doctor
932,17,F,teacher
933,17,M,developer
934,20,F,analyst
935,50,M,researcher
936,48,F,writer
937,17,M,consultant
938,50,F,marketing
939,17,M,professor
940,45,F,student
941,17,M,engineer
942,50,F,designer
943,50,M,manager
944,17,F,student
945,27,M,doctor
946,17,F,teacher
947,17,M,developer
948,19,F,analyst
949,50,M,researcher
950,49,F,writer
951,17,M,consultant
952,50,F,marketing
953,17,M,professor
954,46,F,student
955,17,M,engineer
956,50,F,designer
957,50,M,manager
958,17,F,student
959,26,M,doctor
960,17,F,teacher
961,17,M,developer
962,18,F,analyst
963,50,M,researcher
964,50,F,writer
965,17,M,consultant
966,50,F,marketing
967,17,M,professor
968,47,F,student
969,17,M,engineer
970,50,F,designer
971,50,M,manager
972,17,F,student
973,25,M,doctor
974,17,F,teacher
975,17,M,developer
976,17,F,analyst
977,50,M,researcher
978,50,F,writer
979,17,M,consultant
980,50,F,marketing
981,17,M,professor
982,48,F,student
983,17,M,engineer
984,50,F,designer
985,50,M,manager
986,17,F,student
987,24,M,doctor
988,17,F,teacher
989,17,M,developer
990,17,F,analyst
991,50,M,researcher
992,50,F,writer
993,17,M,consultant
994,50,F,marketing
995,17,M,professor
996,49,F,student
997,17,M,engineer
998,50,F,designer
999,50,M,manager
1000,17,F,student
